Checkpoint,usercount,total_start,total_pass,total_fail,total_quit,unique_user_pass,unique_user_fail,unique_user_quit,avg_checkpoint_duration (sec),avg_cumulative_playtime (sec)
CP #01,1000,1398,1296,0,102,994,0,75,61,85
CP #02,930,1758,1182,390,186,897,135,118,59,197
CP #03,853,5009,987,3471,551,752,464,281,58,573
CP #04,693,1218,794,318,106,662,161,91,59,670
CP #05,656,3745,849,2480,416,623,427,188,55,1041
CP #06,580,2495,700,1514,281,568,301,130,65,1303
CP #07,504,3008,542,2060,406,462,343,182,55,1631
CP #08,455,769,518,200,51,441,67,42,64,1737
CP #09,439,2112,483,1370,259,423,252,139,57,2050
CP #10,417,663,468,150,45,408,93,40,55,2145
CP #11,406,2036,464,1323,249,389,247,130,62,2456
CP #12,388,661,443,170,48,380,92,40,57,2562
CP #13,380,3435,560,2467,408,365,265,145,60,3150
CP #14,364,915,411,427,77,356,167,61,63,3308
CP #15,355,14850,434,12461,1955,329,320,247,58,5776
CP #16,309,1412,333,873,206,298,181,94,66,6032
CP #17,297,10276,355,8347,1574,274,272,220,60,8108
CP #18,266,557,275,219,63,259,97,47,68,8240
CP #19,257,5611,316,4233,1062,245,227,172,62,9506
CP #20,233,730,243,379,108,229,120,67,70,9678
CP #21,227,5856,260,4566,1030,196,210,179,62,11355
CP #22,192,651,196,342,113,185,102,54,61,11575
CP #23,185,5476,249,4341,886,171,170,134,62,13440
CP #24,161,605,175,330,100,157,82,50,62,13669
CP #25,156,5078,184,3818,1076,122,144,134,63,15687
CP #26,106,813,114,507,192,102,69,61,76,16147
CP #27,93,3450,99,2615,736,63,87,79,80,18187
CP #28,56,121,55,47,19,53,21,13,82,18312
CP #29,53,1327,93,896,338,48,46,43,77,19814
CP #30,45,1273,58,919,296,43,39,34,85,21398
